sample,r,s,t,u,v,w,moisture(g)
123,770.9,65.4,99.13,60.67,56.12,29.18,11.81
124,721.93,70.51,113.18,68.25,60.3,35.92,10.55
125,261.9,31.68,104.6,63.2,42.72,23.57,9.07
126,315.42,42.92,103.82,58.98,41.04,21.33,8.03
127,527.22,56.2,118.65,64.04,44.39,24.69,7.6
128,546.57,54.16,105.38,61.51,47.74,25.82,8.86
129,516.97,65.4,108.5,65.72,50.25,29.18,9.63
130,255.07,33.72,108.5,62.35,41.04,23.57,6.79
131,1194.49,132.84,105.38,62.35,64.49,34.8,8.53
132,844.91,90.94,110.06,64.04,60.3,32.55,7.58
133,757.23,71.53,99.13,59.82,54.44,31.43,7.21
134,875.66,86.86,105.3,64.04,60.3,32.55,10.78
135,423.59,45.98,113.18,63.2,46.07,24.69,8.07
136,695.74,76.64,99.13,64.04,58.63,34.8,11.57
137,290.37,35.76,96.79,54.77,35.18,17.96,11.47
138,581.87,54.16,105.38,61.51,51.09,29.18,12.49
139,294.92,31.68,104.6,64.04,42.72,24.69,6.69
140,331.36,35.76,97.57,53.93,36.01,20.2,6.24
141,685.49,66.42,119.43,66.57,56.12,31.43,6.14
142,633.11,52.11,100.69,53.08,46.9,25.82,6.03
143,368.94,41.9,111.62,64.88,45.23,24.69,5.57
144,908.68,136.93,111.62,64.04,61.14,32.55,9.95
145,734.46,79.7,108.5,61.51,54.44,30.31,13.41
146,660.44,71.53,103.82,62.35,53.6,31.43,16.99
147,274.43,33.72,96.01,56.45,37.69,23.57,8.63
148,727.63,75.62,102.25,56.45,49.42,30.31,8.39
149,175.36,28.61,91.33,52.24,30.15,23.57,7.99
150,549.99,56.2,84.3,49.71,42.72,28.06,9.94
151,334.78,39.85,103.82,58.98,39.36,20.2,8.44
152,264.18,37.81,101.47,58.14,38.53,22.45,6.76
153,276.7,36.79,101.47,60.67,40.2,22.45,8.2
154,487.36,49.05,107.72,61.51,46.9,26.94,5.86
155,415.62,38.83,106.16,61.51,45.23,23.57,7.03
156,535.19,49.05,106.94,64.04,51.93,31.43,7.62
157,225.46,32.7,99.91,60.67,38.53,22.45,6.88
158,1130.72,85.83,103.03,66.57,69.52,38.16,6
